MAE,MSE,WAPE,sMAPE,MAPE(|y|>=50),MdAPE(|y|>=50),h
131.90716552734375,30518.435546875,0.01226639341699225,0.01244953740388155,0.012423652224242687,0.009952552616596222,1
138.1524658203125,120344.21875,0.012854007705430067,0.01370618399232626,0.03904643654823303,0.009893396869301796,2
138.41957092285156,208430.78125,0.01288260395419088,0.014322401024401188,0.06503269821405411,0.009488125331699848,3
140.37570190429688,297625.625,0.013070342536902207,0.015093649737536907,0.09117129445075989,0.00909663736820221,4
146.01235961914062,388541.53125,0.013610932078592578,0.01622087135910988,0.11767257004976273,0.009025019593536854,5
151.0865020751953,479178.28125,0.014096330316369282,0.017306748777627945,0.14412760734558105,0.008787965402007103,6
157.29078674316406,570309.5625,0.01469670201055149,0.018514802679419518,0.17070293426513672,0.008616156876087189,7
164.77151489257812,661995.375,0.015415027192879389,0.01984296552836895,0.19739842414855957,0.008490589447319508,8
170.66709899902344,753295.4375,0.015974681758617278,0.02101614512503147,0.2239343225955963,0.008408421650528908,9
176.84559631347656,844794.125,0.016565076944403317,0.022221485152840614,0.2505028247833252,0.008071552962064743,10
185.0330810546875,936779.8125,0.017357504372886752,0.023619286715984344,0.2772654592990875,0.008141111582517624,11
194.90155029296875,1029059.0625,0.018299735241834186,0.02516867034137249,0.3041801154613495,0.008427027612924576,12
